Accommodation & Meals
Accountancy Fees
Ads & Promotion
Business Entertaining
Childcare Vouchers
Computer Hardware
Computer Software
Direct Labour
Director’s Loan Account
Directors Salaries
Employers NI
Internet & Telephone
Leasing Payments
Legal & Pro Fees
Light & Heat
Mobile Phone
Motor Expense
Office Costs
Office Equipment
Other Computer Costs
Printing
Staff Entertaining
Rates
Recruitment
Rent
Staff Training & Welfare
Stationary
Sundries
Web Hosting
Bank-Finance Charges
Books and Journals
Charitable Donations
Insurance
Interest Payable
PAYE-NI Penalty
Pension (Stakeholder) & (Annuity)
Company Pension Contributions
Postage
Subscriptions
Travel
Use of Home
VAT Penalty
Commission Paid
Cost of Sales
Equipment Expensed
Equipment Hire
Materials
Subcontractor Costs
PAYE/NI
VAT
VAT Mini One Stop Shop
Purchase of Capital Asset
CORPORATION TAX
